epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.2678,1.26351,1.52132,1.25815,0.53295,0.54919,0.54804,0.30924,1.44013,1.88955,1.30375,0.000413996,0.000413996,0.000413996
2,103.473,1.34438,1.37131,1.29004,0.55712,0.53498,0.53937,0.30424,1.51585,1.659,1.33588,0.000822439,0.000822439,0.000822439
3,152.676,1.39965,1.45845,1.34041,0.57813,0.49966,0.53928,0.27432,1.63537,1.67512,1.43973,0.00122263,0.00122263,0.00122263
4,203.427,1.39339,1.38348,1.32276,0.56029,0.50242,0.53534,0.30142,1.55423,1.58473,1.38376,0.00121287,0.00121287,0.00121287
5,248.621,1.33625,1.29986,1.29862,0.8186,0.50553,0.6275,0.352,1.47026,1.33331,1.31949,0.0012005,0.0012005,0.0012005
6,293.045,1.28812,1.23325,1.27003,0.67982,0.58101,0.62199,0.35657,1.43894,1.25305,1.28896,0.00118812,0.00118812,0.00118812
7,331.411,1.25243,1.16889,1.23966,0.75063,0.5398,0.63551,0.36029,1.49287,1.18548,1.33236,0.00117575,0.00117575,0.00117575
8,369.165,1.2208,1.12381,1.23023,0.63491,0.63538,0.659,0.38947,1.42666,1.15219,1.26998,0.00116337,0.00116337,0.00116337
9,411.264,1.21838,1.13047,1.23633,0.7423,0.58634,0.65547,0.39045,1.41185,1.16648,1.27405,0.001151,0.001151,0.001151
10,454.552,1.17007,1.06408,1.20732,0.66638,0.63066,0.66975,0.39332,1.41308,1.14434,1.25786,0.00113863,0.00113863,0.00113863
11,496.845,1.18025,1.06565,1.20929,0.73982,0.60021,0.67764,0.41652,1.40091,1.059,1.25247,0.00112625,0.00112625,0.00112625
12,537.219,1.12684,0.9954,1.17354,0.72355,0.63399,0.6943,0.43853,1.34502,1.04169,1.22834,0.00111388,0.00111388,0.00111388
13,575.625,1.11059,0.96544,1.17376,0.71498,0.65476,0.70622,0.44959,1.31815,1.02312,1.20287,0.0011015,0.0011015,0.0011015
14,613.549,1.10478,0.97596,1.16931,0.65132,0.63927,0.66748,0.41654,1.34888,1.09163,1.22738,0.00108913,0.00108913,0.00108913
15,657.647,1.0988,0.93619,1.16196,0.71454,0.66016,0.68696,0.43936,1.31603,1.03564,1.18851,0.00107675,0.00107675,0.00107675
16,702.278,1.06505,0.90482,1.14676,0.71951,0.65718,0.7096,0.45405,1.28453,0.98409,1.18689,0.00106437,0.00106437,0.00106437
17,744.498,1.06098,0.90898,1.14428,0.77768,0.63788,0.70523,0.44813,1.3213,0.99287,1.19611,0.001052,0.001052,0.001052
18,785.292,1.06561,0.89428,1.14133,0.71109,0.65703,0.71934,0.46089,1.24886,0.9337,1.15327,0.00103962,0.00103962,0.00103962
19,823.529,1.0465,0.87282,1.13347,0.76439,0.68765,0.73642,0.47823,1.24571,0.94409,1.15131,0.00102725,0.00102725,0.00102725
20,862.627,1.02586,0.85147,1.12241,0.75652,0.6311,0.70073,0.45044,1.27344,0.98688,1.19131,0.00101488,0.00101488,0.00101488
21,909.077,1.01759,0.83528,1.11818,0.69163,0.68945,0.71535,0.47204,1.2382,0.94948,1.14839,0.0010025,0.0010025,0.0010025
22,951.661,1.00162,0.82858,1.11499,0.76374,0.69332,0.74685,0.47225,1.26557,0.93957,1.16581,0.000990125,0.000990125,0.000990125
23,992.117,1.00035,0.8244,1.11392,0.74094,0.66994,0.73537,0.47211,1.26209,0.9564,1.15667,0.00097775,0.00097775,0.00097775
24,1020.52,0.98849,0.80936,1.10677,0.73443,0.68793,0.73752,0.47318,1.2402,0.95292,1.15271,0.000965375,0.000965375,0.000965375
25,1057.7,0.98235,0.78186,1.09038,0.74956,0.67039,0.72923,0.47629,1.25526,0.95994,1.16446,0.000953,0.000953,0.000953
26,1096.12,0.97202,0.76788,1.09809,0.78235,0.67416,0.748,0.4866,1.22603,0.88125,1.14121,0.000940625,0.000940625,0.000940625
27,1136.76,0.95069,0.76699,1.09422,0.79654,0.68611,0.74149,0.47866,1.24755,0.88665,1.15995,0.00092825,0.00092825,0.00092825
28,1177.56,0.9585,0.75595,1.08652,0.79128,0.67027,0.73497,0.47933,1.23149,0.90945,1.13598,0.000915875,0.000915875,0.000915875
29,1219.05,0.94634,0.74725,1.08059,0.77374,0.66175,0.73253,0.48101,1.22983,0.91018,1.14055,0.0009035,0.0009035,0.0009035
30,1258.96,0.93506,0.74555,1.08114,0.78859,0.67022,0.73591,0.48168,1.23052,0.90493,1.1474,0.000891125,0.000891125,0.000891125
31,1296.05,0.93877,0.72335,1.07757,0.76185,0.70158,0.74068,0.4912,1.20036,0.89729,1.13138,0.00087875,0.00087875,0.00087875
32,1334.38,0.89844,0.6976,1.05863,0.79692,0.69833,0.76065,0.49703,1.22168,0.8802,1.13332,0.000866375,0.000866375,0.000866375
33,1376.35,0.9154,0.71183,1.06757,0.7143,0.72465,0.74813,0.48409,1.21807,0.83826,1.12961,0.000854,0.000854,0.000854
34,1418.2,0.8924,0.68795,1.05577,0.75455,0.69882,0.75293,0.50547,1.2093,0.86573,1.13325,0.000841625,0.000841625,0.000841625
35,1458.73,0.88974,0.68622,1.05514,0.7797,0.69065,0.74777,0.50254,1.19867,0.88221,1.12607,0.00082925,0.00082925,0.00082925
36,1497.76,0.88909,0.66898,1.05,0.78316,0.6846,0.74822,0.50655,1.19658,0.86737,1.12261,0.000816875,0.000816875,0.000816875
37,1533.95,0.89374,0.66614,1.04919,0.75429,0.69319,0.7398,0.48465,1.21582,0.85604,1.14192,0.0008045,0.0008045,0.0008045
38,1566.56,0.87251,0.65945,1.04004,0.80253,0.70425,0.76953,0.5121,1.19733,0.8452,1.12417,0.000792125,0.000792125,0.000792125
39,1585.75,0.86978,0.66321,1.05098,0.79919,0.7059,0.76144,0.5053,1.19142,0.87253,1.13572,0.00077975,0.00077975,0.00077975
40,1604.92,0.85288,0.6438,1.04102,0.80975,0.69563,0.7575,0.49802,1.20896,0.84741,1.14619,0.000767375,0.000767375,0.000767375
41,1624.03,0.84939,0.627,1.03069,0.80065,0.69389,0.7597,0.50639,1.18013,0.83644,1.12015,0.000755,0.000755,0.000755
42,1643.26,0.84398,0.62455,1.03853,0.84488,0.67173,0.74971,0.49813,1.16932,0.8611,1.11153,0.000742625,0.000742625,0.000742625
43,1662.61,0.83622,0.62567,1.0321,0.77851,0.72479,0.75797,0.50851,1.20341,0.85636,1.14199,0.00073025,0.00073025,0.00073025
44,1682.04,0.83899,0.62435,1.02606,0.81522,0.70697,0.76358,0.51607,1.17712,0.83172,1.11857,0.000717875,0.000717875,0.000717875
45,1701.57,0.81431,0.60541,1.02628,0.7484,0.71323,0.7587,0.50378,1.17739,0.85259,1.11601,0.0007055,0.0007055,0.0007055
46,1721.04,0.82616,0.61211,1.02972,0.82644,0.70226,0.76457,0.51216,1.16724,0.8589,1.10329,0.000693125,0.000693125,0.000693125
47,1740.36,0.82814,0.60985,1.02187,0.77742,0.71569,0.76587,0.51998,1.1657,0.85972,1.10456,0.00068075,0.00068075,0.00068075
48,1759.86,0.8154,0.60324,1.017,0.81192,0.70091,0.7576,0.50616,1.18885,0.82968,1.12203,0.000668375,0.000668375,0.000668375
49,1779.15,0.80741,0.59303,1.01916,0.75847,0.72583,0.76027,0.51976,1.16641,0.82153,1.12431,0.000656,0.000656,0.000656
50,1798.83,0.80171,0.58933,1.01687,0.78509,0.71465,0.76371,0.51143,1.18661,0.82883,1.12569,0.000643625,0.000643625,0.000643625
51,1818.14,0.77732,0.58089,1.00973,0.8106,0.711,0.76368,0.51572,1.17746,0.85112,1.12604,0.00063125,0.00063125,0.00063125
52,1837.43,0.80222,0.58978,1.01689,0.78884,0.69558,0.76201,0.51198,1.15635,0.8402,1.10982,0.000618875,0.000618875,0.000618875
53,1857.08,0.78846,0.57128,1.0119,0.8272,0.70947,0.76259,0.51385,1.19079,0.83134,1.13203,0.0006065,0.0006065,0.0006065
54,1876.37,0.75736,0.55794,1.00423,0.78496,0.69988,0.75868,0.51358,1.16408,0.83737,1.1167,0.000594125,0.000594125,0.000594125
55,1895.66,0.76809,0.55717,1.00116,0.85112,0.67227,0.7573,0.51372,1.15719,0.8283,1.11443,0.00058175,0.00058175,0.00058175
56,1915.13,0.75621,0.54241,0.99361,0.81415,0.68442,0.75768,0.51116,1.18118,0.88485,1.13514,0.000569375,0.000569375,0.000569375
57,1935.02,0.7492,0.542,0.99438,0.82611,0.69329,0.76649,0.52331,1.18467,0.81558,1.13913,0.000557,0.000557,0.000557
58,1955.05,0.74808,0.53752,0.99655,0.84475,0.68285,0.76046,0.50634,1.18686,0.84655,1.13808,0.000544625,0.000544625,0.000544625
59,1974.72,0.7446,0.5342,0.9945,0.86177,0.6862,0.76539,0.51893,1.17933,0.81811,1.12206,0.00053225,0.00053225,0.00053225
60,1994.06,0.74533,0.53827,0.99101,0.81313,0.71174,0.77773,0.51868,1.19174,0.86473,1.13003,0.000519875,0.000519875,0.000519875
61,2014.11,0.73522,0.53379,0.98759,0.83213,0.70316,0.76834,0.51864,1.17879,0.8374,1.12525,0.0005075,0.0005075,0.0005075
62,2033.89,0.73226,0.52911,0.98401,0.78867,0.71107,0.77082,0.52297,1.15735,0.86824,1.11698,0.000495125,0.000495125,0.000495125
63,2053.68,0.73537,0.53492,0.99327,0.84263,0.69291,0.76157,0.5122,1.1768,0.8504,1.12172,0.00048275,0.00048275,0.00048275
64,2073.22,0.7125,0.51106,0.97979,0.81257,0.69447,0.76392,0.51656,1.17177,0.85169,1.12282,0.000470375,0.000470375,0.000470375
65,2092.84,0.70999,0.50761,0.98214,0.78593,0.70844,0.74845,0.50607,1.1558,0.89039,1.11745,0.000458,0.000458,0.000458
66,2112.69,0.70967,0.5007,0.97634,0.74515,0.73409,0.7719,0.52247,1.17951,0.82653,1.1215,0.000445625,0.000445625,0.000445625
67,2132.95,0.70527,0.50863,0.97987,0.84189,0.7002,0.77167,0.52435,1.17211,0.83763,1.11912,0.00043325,0.00043325,0.00043325
68,2152.46,0.70173,0.4938,0.97387,0.834,0.69313,0.75547,0.51741,1.15838,0.84848,1.10855,0.000420875,0.000420875,0.000420875
69,2172.35,0.69352,0.49032,0.97017,0.80539,0.71067,0.7677,0.51971,1.16987,0.81204,1.11061,0.0004085,0.0004085,0.0004085
70,2192.15,0.68886,0.48696,0.97441,0.8322,0.687,0.7639,0.52741,1.1519,0.83757,1.10186,0.000396125,0.000396125,0.000396125
71,2211.67,0.69714,0.49863,0.97481,0.79442,0.72077,0.76161,0.51865,1.16398,0.84882,1.12524,0.00038375,0.00038375,0.00038375
72,2231.07,0.69232,0.48321,0.97084,0.80343,0.71047,0.76677,0.52344,1.15813,0.82511,1.10853,0.000371375,0.000371375,0.000371375
73,2250.68,0.67489,0.4763,0.96259,0.81121,0.7139,0.77448,0.53083,1.14793,0.83233,1.1066,0.000359,0.000359,0.000359
74,2270.32,0.68011,0.47974,0.96636,0.82695,0.70448,0.76438,0.52134,1.1632,0.85733,1.10922,0.000346625,0.000346625,0.000346625
